"Fecha","Grupo etario","Confirmados","En estudio","Notificaciones"
"2020-03-24","0-<1","0","0","0"
"2020-03-24","1-4","1","6","7"
"2020-03-24","5-9","1","0","1"
"2020-03-24","10-14","1","2","3"
"2020-03-24","15-19","0","5","5"
"2020-03-24","20-24","1","0","1"
"2020-03-24","25-29","2","12","14"
"2020-03-24","30-34","3","13","16"
"2020-03-24","35-39","0","6","6"
"2020-03-24","40-44","1","3","4"
"2020-03-24","45-49","1","4","5"
"2020-03-24","50-54","3","4","7"
"2020-03-24","55-59","1","7","8"
"2020-03-24","60-64","1","2","3"
"2020-03-24","65-69","3","1","4"
"2020-03-24","70-74","1","4","5"
"2020-03-24","75-79","0","1","1"
"2020-03-24","80-84","0","0","0"
"2020-03-25","0-<1","0","4","4"
"2020-03-25","1-4","1","2","3"
"2020-03-25","5-9","1","0","1"
"2020-03-25","10-14","1","4","5"
"2020-03-25","15-19","0","1","1"
"2020-03-25","20-24","2","6","8"
"2020-03-25","25-29","5","12","17"
"2020-03-25","30-34","7","13","20"
"2020-03-25","35-39","2","6","8"
"2020-03-25","40-44","3","6","9"
"2020-03-25","45-49","2","3","5"
"2020-03-25","50-54","4","4","8"
"2020-03-25","55-59","4","5","9"
"2020-03-25","60-64","2","0","2"
"2020-03-25","65-69","3","2","5"
"2020-03-25","70-74","2","1","3"
"2020-03-25","75-79","0","2","2"
"2020-03-25","80-84","0","1","1"
"2020-03-26","0-<1","0","5","5"
"2020-03-26","1-4","1","6","7"
"2020-03-26","5-9","1","0","1"
"2020-03-26","10-14","1","1","2"
"2020-03-26","15-19","0","1","1"
"2020-03-26","20-24","5","3","8"
"2020-03-26","25-29","7","11","18"
"2020-03-26","30-34","9","10","19"
"2020-03-26","35-39","4","8","12"
"2020-03-26","40-44","3","8","11"
"2020-03-26","45-49","3","7","10"
"2020-03-26","50-54","5","7","12"
"2020-03-26","55-59","5","9","14"
"2020-03-26","60-64","2","3","5"
"2020-03-26","65-69","5","4","9"
"2020-03-26","70-74","2","3","5"
"2020-03-26","75-79","1","2","3"
"2020-03-26","80-84","0","1","1"
"2020-03-26","85-89","1","0","1"
"2020-03-27","0-<1","0","5","5"
"2020-03-27","1-4","1","5","6"
"2020-03-27","5-9","1","0","1"
"2020-03-27","10-14","1","1","2"
"2020-03-27","15-19","0","3","3"
"2020-03-27","20-24","6","3","9"
"2020-03-27","25-29","7","12","19"
"2020-03-27","30-34","11","14","25"
"2020-03-27","35-39","4","10","14"
"2020-03-27","40-44","3","12","15"
"2020-03-27","45-49","4","10","14"
"2020-03-27","50-54","6","5","11"
"2020-03-27","55-59","7","9","16"
"2020-03-27","60-64","2","4","6"
"2020-03-27","65-69","7","4","11"
"2020-03-27","70-74","2","3","5"
"2020-03-27","75-79","1","3","4"
"2020-03-27","80-84","0","1","1"
"2020-03-27","85-89","1","0","1"
"2020-03-27","90-94","0","1","1"
"2020-03-28","0-<1","0","3","3"
"2020-03-28","1-4","1","2","3"
"2020-03-28","5-9","1","0","1"
"2020-03-28","10-14","1","0","1"
"2020-03-28","15-19","1","5","6"
"2020-03-28","20-24","7","2","9"
"2020-03-28","25-29","9","16","25"
"2020-03-28","30-34","15","10","25"
"2020-03-28","35-39","4","4","8"
"2020-03-28","40-44","3","7","10"
"2020-03-28","45-49","5","9","14"
"2020-03-28","50-54","7","7","14"
"2020-03-28","55-59","8","7","15"
"2020-03-28","60-64","3","3","6"
"2020-03-28","65-69","7","4","11"
"2020-03-28","70-74","2","3","5"
"2020-03-28","75-79","2","2","4"
"2020-03-28","80-84","0","1","1"
"2020-03-28","85-89","1","1","2"
"2020-03-28","90-94","0","1","1"
"2020-03-29","0-<1","0","1","1"
"2020-03-29","1-4","1","3","4"
"2020-03-29","5-9","1","0","1"
"2020-03-29","10-14","1","2","3"
"2020-03-29","15-19","2","2","4"
"2020-03-29","20-24","8","6","14"
"2020-03-29","25-29","9","12","21"
"2020-03-29","30-34","18","8","26"
"2020-03-29","35-39","5","5","10"
"2020-03-29","40-44","6","4","10"
"2020-03-29","45-49","6","6","12"
"2020-03-29","50-54","9","4","13"
"2020-03-29","55-59","9","4","13"
"2020-03-29","60-64","3","2","5"
"2020-03-29","65-69","7","2","9"
"2020-03-29","70-74","2","2","4"
"2020-03-29","75-79","2","2","4"
"2020-03-29","80-84","0","2","2"
"2020-03-29","85-89","1","0","1"
"2020-03-29","90-94","0","2","2"
"2020-03-30","0-<1","0","0","0"
"2020-03-30","1-4","1","5","6"
"2020-03-30","5-9","1","3","4"
"2020-03-30","10-14","1","1","2"
"2020-03-30","15-19","3","3","6"
"2020-03-30","20-24","9","15","24"
"2020-03-30","25-29","10","17","27"
"2020-03-30","30-34","19","14","33"
"2020-03-30","35-39","9","9","18"
"2020-03-30","40-44","7","12","19"
"2020-03-30","45-49","9","12","21"
"2020-03-30","50-54","10","14","24"
"2020-03-30","55-59","11","11","22"
"2020-03-30","60-64","4","5","9"
"2020-03-30","65-69","8","4","12"
"2020-03-30","70-74","4","3","7"
"2020-03-30","75-79","4","1","5"
"2020-03-30","80-84","0","1","1"
"2020-03-30","85-89","1","1","2"
"2020-03-30","90-94","0","1","1"
"2020-03-31","0-<1","0","1","1"
"2020-03-31","1-4","1","5","6"
"2020-03-31","5-9","2","2","4"
"2020-03-31","10-14","1","1","2"
"2020-03-31","15-19","4","6","10"
"2020-03-31","20-24","9","8","17"
"2020-03-31","25-29","12","11","23"
"2020-03-31","30-34","20","14","34"
"2020-03-31","35-39","11","8","19"
"2020-03-31","40-44","8","12","20"
"2020-03-31","45-49","13","6","19"
"2020-03-31","50-54","13","11","24"
"2020-03-31","55-59","14","7","21"
"2020-03-31","60-64","8","7","15"
"2020-03-31","65-69","8","2","10"
"2020-03-31","70-74","4","6","10"
"2020-03-31","75-79","4","5","9"
"2020-03-31","80-84","0","2","2"
"2020-03-31","85-89","1","0","1"
"2020-03-31","90-94","0","2","2"
"2020-04-01","0-<1","0","1","1"
"2020-04-01","1-4","1","5","6"
"2020-04-01","5-9","2","0","2"
"2020-04-01","10-14","1","3","4"
"2020-04-01","15-19","4","5","9"
"2020-04-01","20-24","9","14","23"
"2020-04-01","25-29","13","15","28"
"2020-04-01","30-34","21","20","41"
"2020-04-01","35-39","12","9","21"
"2020-04-01","40-44","9","13","22"
"2020-04-01","45-49","13","11","24"
"2020-04-01","50-54","13","10","23"
"2020-04-01","55-59","15","11","26"
"2020-04-01","60-64","11","9","20"
"2020-04-01","65-69","9","1","10"
"2020-04-01","70-74","5","3","8"
"2020-04-01","75-79","5","3","8"
"2020-04-01","80-84","0","4","4"
"2020-04-01","85-89","1","1","2"
"2020-04-01","90-94","0","3","3"
"2020-04-02","0-<1","0","2","2"
"2020-04-02","1-4","1","8","9"
"2020-04-02","5-9","2","0","2"
"2020-04-02","10-14","1","4","5"
"2020-04-02","15-19","4","8","12"
"2020-04-02","20-24","9","17","26"
"2020-04-02","25-29","13","18","31"
"2020-04-02","30-34","22","13","35"
"2020-04-02","35-39","13","9","22"
"2020-04-02","40-44","12","12","24"
"2020-04-02","45-49","14","10","24"
"2020-04-02","50-54","14","6","20"
"2020-04-02","55-59","16","16","32"
"2020-04-02","60-64","11","6","17"
"2020-04-02","65-69","9","7","16"
"2020-04-02","70-74","5","4","9"
"2020-04-02","75-79","5","3","8"
"2020-04-02","80-84","0","4","4"
"2020-04-02","85-89","1","4","5"
"2020-04-02","90-94","0","3","3"
"2020-04-02","95-99","0","1","1"
"2020-04-03","0-<1","1","1","2"
"2020-04-03","1-4","1","2","3"
"2020-04-03","5-9","2","0","2"
"2020-04-03","10-14","1","7","8"
"2020-04-03","15-19","4","5","9"
"2020-04-03","20-24","9","8","17"
"2020-04-03","25-29","14","11","25"
"2020-04-03","30-34","22","16","38"
"2020-04-03","35-39","14","9","23"
"2020-04-03","40-44","13","14","27"
"2020-04-03","45-49","15","10","25"
"2020-04-03","50-54","14","11","25"
"2020-04-03","55-59","17","15","32"
"2020-04-03","60-64","12","8","20"
"2020-04-03","65-69","10","8","18"
"2020-04-03","70-74","5","2","7"
"2020-04-03","75-79","5","3","8"
"2020-04-03","80-84","0","3","3"
"2020-04-03","85-89","1","2","3"
"2020-04-03","90-94","0","1","1"
"2020-04-04","0-<1","1","3","4"
"2020-04-04","1-4","1","5","6"
"2020-04-04","5-9","2","3","5"
"2020-04-04","10-14","1","3","4"
"2020-04-04","15-19","4","6","10"
"2020-04-04","20-24","9","13","22"
"2020-04-04","25-29","14","12","26"
"2020-04-04","30-34","23","16","39"
"2020-04-04","35-39","14","16","30"
"2020-04-04","40-44","14","11","25"
"2020-04-04","45-49","15","15","30"
"2020-04-04","50-54","15","13","28"
"2020-04-04","55-59","18","12","30"
"2020-04-04","60-64","12","4","16"
"2020-04-04","65-69","10","7","17"
"2020-04-04","70-74","6","2","8"
"2020-04-04","75-79","5","4","9"
"2020-04-04","80-84","0","2","2"
"2020-04-04","85-89","1","2","3"
"2020-04-04","90-94","0","1","1"
"2020-04-05","0-<1","1","1","2"
"2020-04-05","1-4","2","1","3"
"2020-04-05","5-9","2","1","3"
"2020-04-05","10-14","1","2","3"
"2020-04-05","15-19","4","3","7"
