"Fecha","localidad","Confirmados","Descartados","En estudio","Notificaciones"
"2020-03-24","ARMSTRONG","0","1","0","1"
"2020-03-24","ARROYO LEYES","0","0","1","1"
"2020-03-24","CAPITAN BERMUDEZ","0","1","0","1"
"2020-03-24","CARMEN","0","0","1","1"
"2020-03-24","CASILDA","0","0","1","1"
"2020-03-24","CERES","0","0","1","1"
"2020-03-24","ESPERANZA","1","1","0","2"
"2020-03-24","FIRMAT","0","0","1","1"
"2020-03-24","FLORENCIA","0","1","0","1"
"2020-03-24","FRANCK","0","1","0","1"
"2020-03-24","FUNES","0","1","1","2"
"2020-03-24","GALVEZ","2","0","5","7"
"2020-03-24","GRANADERO BAIGORRIA","0","2","0","2"
"2020-03-24","HELVECIA","2","0","1","3"
"2020-03-24","HUMBOLDT","0","0","1","1"
"2020-03-24","JOSEFINA","0","1","0","1"
"2020-03-24","LAS PAREJAS","0","0","1","1"
"2020-03-24","MONTE VERA","0","0","1","1"
"2020-03-24","PUEBLO ESTHER","0","2","0","2"
"2020-03-24","RAFAELA","3","2","2","7"
"2020-03-24","RECONQUISTA","0","1","0","1"
"2020-03-24","RECREO","0","2","0","2"
"2020-03-24","ROLDAN","2","0","0","2"
"2020-03-24","ROSARIO","8","49","20","77"
"2020-03-24","RUFINO","0","0","1","1"
"2020-03-24","SAN GENARO","0","0","1","1"
"2020-03-24","SAN JAVIER","0","2","1","3"
"2020-03-24","SAN LORENZO","0","2","1","3"
"2020-03-24","SANTA FE","1","14","20","35"
"2020-03-24","SANTO TOME","0","2","3","5"
"2020-03-24","SASTRE","0","1","0","1"
"2020-03-24","SAUCE VIEJO","0","0","1","1"
"2020-03-24","TACURAL","0","1","0","1"
"2020-03-24","TIMBUES","0","1","0","1"
"2020-03-24","VENADO TUERTO","0","3","2","5"
"2020-03-24","VILLA CONSTITUCION","0","2","2","4"
"2020-03-24","VILLA GOBERNADOR GALVEZ","1","2","0","3"
"2020-03-24","VILLA MUGUETA","0","0","1","1"
"2020-03-25","ALVAREZ","0","1","0","1"
"2020-03-25","ANGEL GALLARDO","0","0","1","1"
"2020-03-25","ARMSTRONG","0","1","0","1"
"2020-03-25","ARROYO LEYES","0","1","0","1"
"2020-03-25","AVELLANEDA","0","0","1","1"
"2020-03-25","CAMPO LA PEPITA","0","0","1","1"
"2020-03-25","CAÑADA DE GOMEZ","0","1","0","1"
"2020-03-25","CAPITAN BERMUDEZ","0","1","2","3"
"2020-03-25","CARMEN","0","0","1","1"
"2020-03-25","CARRERAS","0","0","1","1"
"2020-03-25","CASILDA","1","0","0","1"
"2020-03-25","CERES","0","0","1","1"
"2020-03-25","ESPERANZA","1","1","1","3"
"2020-03-25","FIRMAT","0","0","1","1"
