"Departamento","Localidad","Latitud","Longitud"
"9 de Julio","ESTEBAN RAMS","-29.77147462695020","-61.48929776340180"
"9 de Julio","GATO COLORADO","-28.02214514705190","-61.18689954008970"
"9 de Julio","GREGORIA PEREZ DE DENIS","-28.22759361447960","-61.52906329019750"
"9 de Julio","LOGROÑO","-29.50303872140330","-61.69622086158890"
"9 de Julio","MONTEFIORE","-29.66674351123330","-61.86589185613010"
"9 de Julio","POZO BORRADO","-28.93753579684030","-61.70720103690470"
"9 de Julio","SANTA MARGARITA","-28.31249943749050","-61.54893011874620"
"9 de Julio","TOSTADO","-29.23001166845560","-61.77082037285420"
"9 de Julio","VILLA MINETTI","-28.62283143811910","-61.62674191677570"
"Belgrano","ARMSTRONG","-32.78528556250950","-61.60335396472320"
"Belgrano","BOUQUET","-32.42357393460830","-61.88955480228250"
"Belgrano","LAS PAREJAS","-32.68167261482480","-61.52002218757330"
"Belgrano","LAS ROSAS","-32.47502968595850","-61.57657399691070"
"Belgrano","MONTES DE OCA","-32.56637998381960","-61.76824038338300"
"Belgrano","TORTUGAS","-32.74746841498750","-61.82115874732510"
"Caseros","AREQUITO","-33.14641720083740","-61.47153739745170"
"Caseros","ARTEAGA","-33.09003011319160","-61.79073706180810"
"Caseros","BERAVEBU","-33.33873266222120","-61.86108425403660"
"Caseros","BIGAND","-33.37311103709190","-61.18548433041100"
"Caseros","CASILDA","-33.04562717037070","-61.16333147717030"
"Caseros","CHABAS","-33.24640234241070","-61.35785436071560"
"Caseros","CHAÑAR LADEADO","-33.32310597239290","-62.03881239367810"
"Caseros","GODEKEN","-33.40124560627200","-61.84290156998000"
"Caseros","LOS MOLINOS","-33.10220288956550","-61.32659247422460"
"Caseros","LOS QUIRQUINCHOS","-33.37720549752040","-61.71110939010440"
"Caseros","SANFORD","-33.14467540327000","-61.27927877671030"
"Caseros","SAN JOSE DE LA ESQUINA","-33.11539992461400","-61.70412439177530"
"Caseros","VILLADA","-33.34999964538500","-61.44436918073280"
"Castellanos","ANGELICA","-31.55064522548170","-61.54623590893130"
